"Within how many days an application for revocation of cancellation of registration can be made";"Within 7 days from the date of service of the cancellation order.";"Within 15 days from the date of service of the cancellation order.";"Within 30 days from the date of service of the cancellation order.";"Within 45 days from the date of service of the cancellation order.";3;"An application for revocation of cancellation of registration can be made Within 30 days from the date of service of the cancellation order "
"Which of the Following supply of goods or services or both will be treated as inter-State trade or commerce ";"supplier located in India and the place of supply is outside India ";"to or by a Special Economic Zone developer or a Special Economic Zone unit ";"in the taxable territory, not being an intra-State supply and not covered elsewhere in this section ";"All of the above";4;"All three option are covered"
"Which of the following state taxes are not included in GST";"Luxury tax";"State Value Added Tax";"Taxes on lottery, betting and gambling";"None of the Above";4;"Above mention all taxes are included in GST"
"Which of the following forms is used for registration";"FORM GSTR 2";"FORM GSTR REG- 01";"FORM GSTR REG";"FORM GSTR 1";2;"FORM GSTR REG- 01 used for registration Under GST"
"Which section of IGST Act, 2017 Describe about Supplies in territorial waters";"Section 7";"Section 8";"Section 9";"Section 10";3;"Section 9 of IGST Act, 2017 Describe about Supplies in territorial waters"
"What is the validity period of the registration certificate";"1 year";"2 year";"5 year";"Valid upto till not cancelled";4;"GST registration certificate Valid upto till not cancelled by department/Assessee"
"Who of the following will be the members of the GST Council";"Union Finance Minister";"Chief Ministers of States";"Union Minister of State in charge of Revenue or Finance";"1 & 3";4;"The composition of the GST Council includes:The Union Finance Minister (as Chairman),The Union Minister of State in charge of Revenue or Finance & The Minister in charge of Finance or Taxation or any other Minister, nominated by each state government."
"An e-commerce operator should get registered irrespective of his threshold limit";"No, required to register only if his aggregate turnover exceeds the threshold limit";"Yes, if he is located in Northwestern States";"Yes";"He is required to register if he is liable to collect tax at source and his aggregate turnover exceeds the threshold limit";4;"E-commerce operatoe is required to register if he is liable to collect tax at source and his aggregate turnover exceeds the threshold limit"
"Which Section of Central Goods and Services Tax Act, 2017, read with respective rules states provisions relating to seizure";"Section 52";"Section 54";"Section 67";"Section 69";3;"Section 67 of Central Goods and Services Tax Act, 2017, read with respective rules states provisions relating to seizure"
"What is Revenue Neutral Rate";"Tax rate to get same amount of money despite changing tax laws";"Tax rate to get more amount of money without changing tax laws";"Tax rate to get more amount of money on changing tax laws";"To get more money by keeping the tax rates same";1;"In the GST regime the revenue of the government would not be same in comparison with the present tax structure due to tax credit mechanism, removal of cascading effect, or otherwise.Therefore an adjusted in tax rate is required to avoid reduction in revenue of the government.This adjusted Rate is termed as Revenue Neutral Rate (RNR). It is the rate at which tax revenue will remain same, despite allowing input tax credit and other factor."
"Which of the following requires amendment in the registration certificate";"Change in constitution of the registered person.";"Change of name of the registered person";"Switching over form composition scheme to normal scheme or vice versa";"All of the above";4;"In all three case amendmet is required in GST certificate"
"Which of the Following supply of goods will not be considered as Intra State Supply ";"supply of goods to or by a Special Economic Zone developer or a Special Economic Zone Unit";"goods imported into the territory of India till they cross the customs frontiers of India ";"supplies of goods made to a tourist as referred to in Section 15 ";"All of the above";4;"All three option are will not be considered as Intra State Supply"
"PAN issued under the Income Tax Act is mandatory for grant of registration under GST";"Yes";"No";"Yes, but non-resident taxable person may be granted registration on the basis of any other document";"None of the Above";3;"PAN is mandatory for registration under GST but non-resident taxable person may be granted registration on the basis of any other document"
"Which of the following statement are not correct about GST";"GST is a Last point tax";"GST will abolish all direct tax";"GST is effectice from 1st July 2017";"It will unified tax system";2;"GST is abolished some Indirect taxes not Direct taxes"
"Which section of the Integrated GST Act, 2017 Describe about Place of Supply of Goods imported into, or exported from India";"Section 7";"Section 8";"Section 10";"Section 11";4;"Section 11 of the Integrated GST Act, 2017 Describe about Place of Supply of Goods imported into, or exported from India"
"If Input credit claimed by recipient is more than the output tax declared by the supplier or if the supplier has not declared the outward supply, then";"The supplier is given an opportunity of being heard";"The discrepancy is communicated in GST ITC -1 to both the supplier and receiver";"The excess amount claimed as input is added to the output tax liability of the recipient";"The excess amount claimed as input is added to the output tax liability of the supplier";2;"If Input credit claimed by recipient is more than the output tax declared by the supplier or if the supplier has not declared the outward supply, then The discrepancy is communicated in GST ITC -1 to both the supplier and receiver"
"If the value of an exempted supply is Rs 2000, a Bill of Supply";"Not to be issued";"Has to be issued";"Need not to be issued even recepent ask";"None of the above";2;"If the value of an exempted supply is Rs 2000, a Bill of Supplyhas to be issued."
"A proper officer not below the rank of Joint Commissioner or an officer authorised by such proper officer can make an order of seizure in form ";"GST INS-01";"GST INS-03";"GST INS-02";"GST INS-04";3;"A proper officer not below the rank of Joint Commissioner or an officer authorised by such proper officer can make an order of seizure in form GST INS-02"
"Value to be mentioned in the invoice";"Can be Inclusive of taxes provided the recipient does not want to avail Input Tax Credit";"Cannot be inclusive of taxes because the tax collected has to be shown separately in the invoice";"Whether tax has to be shown separately or not depends upon the provision of the SGST law of the respective State";"None of the above";2;"Value to be mentioned in the invoice Cannot be inclusive of taxes because the tax collected has to be shown separately in the invoice"
"The tax rate on the Luxury and demerit goods will be";"5%";"28%";"18%";"0%";2;"The tax rate on the Luxury and demerit goods will be 28%"
"Which section of the Integrated GST Act, 2017 Describe about Place of Supply of Services other than supply of goods imported into, or exported from India";"Section 7";"Section 8";"Section 12";"Section 11";3;"Section 12 of the Integrated GST Act, 2017 Describe about Place of Supply of Services other than supply of goods imported into, or exported from India"
"Detail of outward supplies shall include";"Revised invoice in relation to outward supplies";"Credit and debit notes";"Invoice";"All of the above";4;"All three option are provided covered under outward supplies"
"Around how many countries have already implemented the GST";160;170;180;190;1;"Around 160 countries have already implemented the GST"
"Which of the Following will be treated as establishments of distinct persons";"an establishment in India and any other establishment outside India";"an establishment in a State or Union territory and any other establishment outside that State or Union territory";"an establishment in a State or Union territory and any other establishment being a business vertical registered within that State or Union territory ";"All of the above";4;"All three option are will be treated as establishments of distinct persons"
"Detail of inward supplies shall include";"Inward supplies in respect of which tax is payable under reserve charge mechanism";"inward supplies of goods and services not declared by suppliers";"inward supplies of goods and services communicated in form GSTR 2 A";"All of the above";4;"All three option are provided covered under Inward supplies"
"Govt. organization are compulsary required to get registration under GST";"Yes";"No";"Can't Say";"None of the Above";2;"A unique identification number (ID) would be given by the respective state tax authorities through GST portal to Government authorities / PSUs not making outwards supplies of GST goods and thus not liable to obtain GST registration"
"From when will the period of one or three years be calculated under Section 55";"The day when the job-worker receives the said goods, in case the job-worker receives the goods directly";"The day when such inputs and/or capital goods are sent to job-worker";"Option (1) and (2)";"None of the Above";3;"Option 3 is the correct answer"
"Where Goods cannot be seized the proper officer or the authorised officer may serve on the owner or the custodian of the goods, an order of prohibition in ";"GST INS-01";"GST INS-03";"GST INS-02";"GST INS-04";2;"Where Goods cannot be seized the proper officer or the authorised officer may serve on the owner or the custodian of the goods, an order of prohibition in FORM GST INS-03 that he shall not remove, part with, or otherwise deal with the goods except with the previous permission of such officer"
"Under which section in Model GST Law Casual Taxable Person defined";"2(20)";"2(21)";3;4;2;"Casual Taxable Person has been defined in Section 2 (21) of MGL.  It means a person who occasionally undertakes transactions in a taxable territory where he has no fixed place of business"
"In case, more than one place of business is situated within a State specified in the Registration Certificate, the books and Accounts shall be maintained at";"At the principal place of business mentioned in the Registration Certificate for all places of business in each State";"The Place where the books of accounts are maintained for all places situated within a State";"Each place of business pertaining to such place alone";"Any of the above";3;"In case, more than one place of business is situated within a State specified in the Registration Certificate, the books and Accounts shall be maintained atEach place of business pertaining to such place alone"
"Where the amount of tax evaded or the amount of input tax credit wrongly availed or utilised or the amount of refund wrongly taken exceeds 200 to 500 lakh Rupees imprisonment for a term which may extend to";" 1 years and with fine ";" 3 years and with fine ";" 5 years and with fine ";"10 years and with fine ";2;"Where the amount of tax evaded or the amount of input tax credit wrongly availed or utilised or the amount of refund wrongly taken exceeds 200 to 500 lakh Rupees imprisonment for a term which may extend to  3 years and with fine "
"Under which section in Model GST Law  Non-resident Taxable Person defined";"2(20)";"2(21)";"2(68)";"2(69)";4;"A taxable person residing outside India and coming to India to occasionally undertake transaction in the country but has no fixed place of business in India is a non-resident taxable person in terms of Section 2 (69) of the MGL"
"If the turnover during a financial year exceeds the prescribed limit, then accounts should be got audited by";"Cost Accountant";"Chartered Accountant";"Either (a) or (b)";"All of the Above";3;"If the turnover during a financial year exceeds the prescribed limit, then accounts should be got audited by Either Cost Accountant or Chartered Accountant"
"Which section of IGST Act, 2017 Describe about Inter State Supply";"Section 7";"Section 8";"Section 9";"Section 10";1;"Section 7 of IGST Act, 2017 Describe about Inter State Supply"
"What is the validity period of the Registration certificate issued to a Casual Taxable Person and non- Resident Taxable person";"30 days";"60 days";"90 days";"120 days";3;"The certificate of registration issued to a casual taxable person or a non-resident taxable person shall be valid for a period of ninety days from the effective date of registration. However, the proper officer, at the request of the said taxable person, may extend the validity of the aforesaid period of ninety days by a further period not exceeding ninety days"
"According to section --- Amendments in the Registration Certificate is permissible";10;15;20;21;3;" In terms of Section 20, the proper officer may, on the basis of such information furnished either by the registrant or as ascertained by him, approve or reject amendments in the registration "
"Which section of IGST Act, 2017 Describe about Intra State Supply";"Section 7";"Section 8";"Section 9";"Section 10";2;"Section 8 of IGST Act, 2017 Describe about Inter State Supply"
"Any modification / deletion done by the recipient to the details contained in Form GSTR 2A shall be communicated to the supplier in";"Form GSTR 1A";"Form GSTR 2A";"Form GSTR 3A";"Form GSTR 4A";1;"Any modification / deletion done by the recipient to the details contained in Form GSTR 2A shall be communicated to the supplier in Form GSTR 1A"
"According to section --- Cancellation of Registration Certificate is permissible";10;15;20;21;4;"Any Registration granted under this Act may be cancelled by the Proper Officer, in circumstances mentioned in Section 21 of the MGL. The proper officer may, either on his own motion or on an application filed, in the prescribed manner, by the registered taxable person or by his legal heirs, in case of death of such person, cancel the registration, in such manner and within such period as may be prescribed"
"The bond so executed will be in ---for release of seized goods and the security in the form of a bank guarantee equivalent to the amount of applicable tax, interest and penalty payable";"GST INS-01";"GST INS-03";"GST INS-02";"GST INS-04";4;"The bond so executed will be in GST INS-04 for release of seized goods and the security in the form of a bank guarantee equivalent to the amount of applicable tax, interest and penalty payable"
"The definition of refund does not include";"Refund of unutilized input tax credit as provided under sub-section (2) of section 48";"Refund of tax on goods and/or services exported out of India";"Refund of tax on the supply of goods regarded as deemed exports";"Refund of tax on inputs or input services used in the goods and/or services which are imported into India";4;"The definition of refund does not include as Refund of tax on inputs or input services used in the goods and/or services which are imported into India"
"Balance in electronic credit ledger can be utilized against which liability";"Interest";"Penalty";"Output tax payable";"All of the above";3;"Balance in electronic credit ledger can be utilized against Output tax payable"
"Where the amount of tax evaded or the amount of input tax credit wrongly availed or utilised or the amount of refund wrongly taken exceeds 500 lakh Rupees imprisonment for a term which may extend to";" 1 years and with fine ";" 5 years and with fine ";" 8 years and with fine ";"10 years and with fine ";2;"Where the amount of tax evaded or the amount of input tax credit wrongly availed or utilised or the amount of refund wrongly taken exceeds 500 lakh Rupees imprisonment for a term which may extend to  5 years and with fine "
"If any person cancelling his Registration under CGST Act means cancellation under SGST Act also";"Yes";"No";"Can't Say";"None of the Above";1;"The cancellation of registration under one Act (say CGST Act) shall be deemed to be a cancellation of registration under the other Act (i.e. SGST Act). (Section 21 (6)) "
"Who is a principal as per Section 55";"A person who sends inputs and/or capital goods for job-work";"A registered taxable person who sends inputs and/or capital goods for job-work";"A registered taxable person who supplies inputs and/or capital goods for job-work";"None of the Above";2;"A registered taxable person who sends inputs and/or capital goods for job-work called as Principal as per sec 55 under GST"
"If the goods so seized are of perishable or hazardous nature, such goods can be released by an order under ---- only after the taxable person pays an amount equivalent to the market price of such goods or things or the amount of tax, interest and penalty that is or may become payable by the taxable person, whichever is lower and produce the proof of payment";"GST INS-01";"GST INS-02";"GST INS-03";"GST INS-05";4;"If the goods so seized are of perishable or hazardous nature, such goods can be released by an order under Form GST INS-05 only after the taxable person pays an amount equivalent to the market price of such goods or things or the amount of tax, interest and penalty that is or may become payable by the taxable person, whichever is lower and produce the proof of payment"
"When should a job-worker take registration";"Always";"Not necessary";"Only if his aggregate turnover exceeds the threshold limits specified under Schedule I";"None of the Above";3;"Only if his aggregate turnover exceeds the threshold limits specified under Schedule I a job-worker should take registration"
"Under which section in Model GST Law Input Service Distributer defined";"2(20)";"2(21)";"2(56)";"2(69)";3;"ISD stands for Input Service Distributor and has been defined under Section 2 (56) of MGL. ISD be required to be separately registered other than the existing taxpayer registration. a taxpayer May have multiple ISDs."
"Place of supply of goods includes";"Imported into India shall be the location of the importer";"Exported from India shall be the location outside India";"Both of the Above";"None of the Above";3;"Place of supply of goods includes Imported into India shall be the location of the importer & Exported from India shall be the location outside India"
"Whether any additional interest/penalty/ leviable or prosecution proceedings launched for non-payment of tax determined under provisional assessment";"Interest under section 45 + Penalty of Rs 10,000";"Only interest specified under section 45 will be liable";"Only Penalty @ 50% of the amount in default";"No Penalty, only Prosecution";2;"Only interest specified under section 45 will be liable for non-payment of tax determined under provisional assessment"
"Can the registration certificate be downloaded from the GSTN portal";"Yes , If it is granted";"Yes , If it is not granted";"No";"None of the Above";1;"In case registration is granted, applicant can download the Registration Certificate from the GST common portal"
"Where any person convicted of an offence under this section is again convicted of an offence under this section, then, he shall be punishable for the second and for every subsequent offence with imprisonment for a term which may extend to ";" 1 years and with fine ";" 5 years and with fine ";" 8 years and with fine ";"10 years and with fine ";2;"Where any person convicted of an offence under this section is again convicted of an offence under this section, then, he shall be punishable for the second and for every subsequent offence with imprisonment for a term which may extend to  5 years and with fine "
"Which section specifies the conditions to be fulfilled for claiming ITC on inputs and/or capital goods sent to job-worker";"Section 20";"Section 50";"Section 60";"Section 144";1;"Section 20 specifies the conditions to be fulfilled for claiming ITC on inputs and/or capital goods sent to job-worker"
"The details submitted by the outward supplier in Form GSTR 1 shall be furnished to the recipient (not being a composition supplier) in Form";"GSTR 2A";"GSTR 4A";"GSTR 5A";"GSTR 6A";1;"The details submitted by the outward supplier in Form GSTR 1 shall be furnished to the recipient (not being a composition supplier) in Form GSTR 2A"
"Which of the following can be asked to assist the CGST/SGST officer";"Health";"CBI";"State Excise";"Police/Customs";4;"Police/Customs can be asked to assist the CGST/SGST officer"
"Mr X supplies goods to himself whether Mr X liable to pay GST";"Yes , but not on intra-state self-supplies ";"No";"Not upto Rs 1000";"None of the Above";1;"Inter-state self-supplies such as stock transfers will be taxable as a taxable person has to take state wise registration in terms of Schedule 1(5).  Such transactions have been made taxable even if there is no consideration.  However, intra-state self-supplies are not taxable"
"What is e-commerce";"Supply of goods and/or services on an electronic platform for commerce other than the e-commerce operator himself";"Supply of goods and/or services including digital products on an electronic platform for commerce";"Supply of goods and/or services on an electronic platform for commerce";"Supply of goods and/or services on an electronic platform for commerce including the e-commerce operator";2;"Supply of goods and/or services including digital products on an electronic platform for commerce is a e-commerce"
"What is the location of supply in case of importation of goods";"Customs port where the goods are cleared ";"Place where the goods are delivered after clearance from customs port";"Location of the importer ";"Owner of the goods ";3;"Location of the importer Will be the location of supply in case of importation of goods"
"What happens if a taxable person has paid CGST/SGST (in SGST Act) on a transaction considered by him to be an intra-State supply but which is subsequently held to be an inter-State supply";"Adjust against future liability";"Take re-credit";"File a suit for recovery";"Pay tax and seek refund";4;"Pay tax and Ask for refund in this case"
"Balance in electronic credit ledger under IGST can be used against which liability";"IGST Liability only";"IGST and CGST liability";"IGST, CGST and SGST liability";"None of the above";3;"Balance in electronic credit ledger under IGST can be used against IGST, CGST and SGST liability"
"A dealer of air-conditioners transfers an air conditioner from his stock in trade, for personal use at his residence. Will the transaction constitute a supply";"Yes.  As per Schedule-I ";"No.  As per Schedule-I ";"No.  As per Schedule-II";"Yes.  As per Schedule-II";1;"Yes.  As per Schedule-I (1) business assets put to a private or non-business use without consideration will be treated as supply"
"Who can issue fresh notice for demand enhanced by appeal, revision of application or other proceedings";"Assistant Commissioner";"Joint Commissioner";"Commissioner";"Any of the above";3;"Commissioner can issue fresh notice for demand enhanced by appeal, revision of application or other proceedings"
"Which of these registers/ledgers are maintained online under GST";"Credit ledger";"Cash Ledger";"Tax liability register";"All of the above";4;"All three options are correct"
"The documents called for should be produced within";"5 days";"10 Days";"15 Days";"20 Days";3;"The documents called for should be produced within 15 Days"
"Y has sent his goods to Y for job-work on 09-06-2017. Y does not receive the goods back within one year. When is, this deemed to be supply in the hands of Y";"On 09-06-2017";"On 06-06-2018";"On 03-11-2018";"Not Taxable unde GST";1;"Y has sent his goods to Y for job-work on 09-06-2017. Y does not receive the goods back within one year. When is, this deemed to be supply in the hands of Y On 09-06-2017"
"If any person transfer of right to use goods will be treated as supply of goods or supply of service";"Treated as supply of goods";"Treated as supply of service";"Both Treated as supply of goods & supply of service";"None of the Above";2;"Transfer of right to use goods shall be treated as supply of service because there is no transfer of title in such supplies. Such transactions are specifically treated as supply of service in Schedule-II of Model GST Law (MGL)"
"When supply is made to registered person what will be Place of Supply of Service ";"location of recipient where address on records exist ";"Location of such person";"location at which immovable property or boat or vessel is located ";"the place where the event is actually held ";2;"When supply is made to registered person Place of Supply of Service will be Location of such person"
"When is an e-commerce operator required to register Under GST";"When he is required to collect tax at source u/s 56";"When he is required to discharge tax on the taxable supply or services made by the supplier through him u/s 8(4)";"Always";"When his aggregate turnover exceeds the threshold limit";3;"An e-commerce operator Always required to register Under GST irrespective of Turonover"
"Refund application is to be filed before the expiry of ________ from the relevant date";"160 days";"1 year";"2 year";"250 Days";3;"Refund application is to be filed before the expiry of 2 Year from the relevant date"
"When supply is made to Unregistered person what will be Place of Supply of Service ";"location of recipient where address on records exist ";" location of the supplier of services in other cases ";"Both option 1 & 2";"Location of such person";2;"Option 3 is the correct answer"
"Accounts are required to be maintained in";"Manual form";"Electronic form";"Manual and electronic form";"All of the above";4;"Accounts are required to be maintained in Manual form or Electronic form  or Manual and electronic form"
"Every tax payer paying tax under Section 9 (composition levy) shall file the return in";"Form GSTR 3 by 18th of the month succeeding the quarter";"Form GSTR 4 by 18th of the succeeding month";"Form GSTR 4 by 18th of the month succeeding the quarter";"Form GSTR 4 by 20th of the month succeeding the quarter";3;"Every tax payer paying tax under Section 9 (composition levy) shall file the return in Form GSTR 4 by 18th of the month succeeding the quarter"
"GST is a ";"Broad-based tax ";" Destination based tax ";"Both of the above";"None of the Above";3;"GST is a broad-based tax  & Destination based Tax"
"Which are the places of business / premises which can be inspected by the CGST/SGST officer under this section";"Any place of business of an owner or an operator of a warehouse or godown";"Any place of business of a taxable person engaged in the business of transporting goods";"Any places of business of a taxable person";"All of the above";4;"All are option 1 to 3 are covered"
"Which section enables tax-free movement for sending inputs and/or capital for jobworker";"Section 20";"Section 55";"Section 77";"Section 175";2;"Section 55 enables tax-free movement for sending inputs and/or capital for jobworker"
"Which is not a model of GST";"Australian & Candian Model";"Bhutan Model";"Kelkar-Shah & Bagchi-Poddar Model ";"None of the Above";2;"GST Model are as Australian Model, Candian Model ,Kelkar-Shah Model & Bagchi-Poddar Model but Bhutan model are not covered under GST"
"France has implemented GST in which Year";1944;1954;1964;2000;2;"France is the First countary where GST introduced in year 1954."
"The GST Council in its 11th meeting held on --- approved the draft Integrated GST bill to make a provision for levy and collection of tax on inter-State supply of goods or services or both by the Central Government ";"4th March, 2017";"5th March, 2017";"6th March, 2017";"7th March, 2017";1;"The GST Council in its 11th meeting held on 4th March, 2017 approved the draft Integrated GST bill to make a provision for levy and collection of tax on inter-State supply of goods or services or both by the Central Government "
"GST is a comprehensive tax regime covering ";"Goods";"Services";" Both goods and services";"Goods or services";3;"GST is a consumption or destination based tax levied on the basis of the Destination principle. It is a comprehensive tax regime covering both goods and services, and be collected on value-added at each stage of the supply chain"
"Every registered taxable person shall be entitled to take credit of input tax in his return and such input tax credit shall be credited to";"Refund account";"Electronic Cash Ledger";"Personal Ledger Account";"Electronic Credit Ledger";4;"Every registered taxable person shall be entitled to take credit of input tax in his return and such input tax credit shall be credited to Electronic Credit Ledger"
" Which section of the IGST Act, 2017 contains the definitions of various terms used at several places in the Act";"Section 1";"Section 2";"Section 3";"Section 4";2;"Section 2 of the IGST Act, 2017 contains the definitions of various terms used at several places in the Act"
"Invoice reference number is valid for";"10 Days";"30 Days";"45 Days";"60 Days";2;"Invoice reference number is valid for 30 days"
"GST, as a well-designed --- on all goods and services, is the most elegant method to eliminate distortions and to tax consumption";"Service Tax";"Value added Tax";"Corporation Tax";"Entertainment tax";2;"GST, as a well-designed value added tax on all goods and services, is the most elegant method to eliminate distortions and to tax consumption"
"The books and other records under section 53 are to be maintained at";"the place where the books and accounts are maintained";"the place of address of the Proprietor/ Partner/Director/Principal Officer";"the principal place of business mentioned in the Certificate of Registration";"Any of the above";3;"The books and other records under section 53 are to be maintained at the principal place of business mentioned in the Certificate of Registration"
"Services like beauty parlour, fitness, restaurant and catering services what will be place of supply of services";"location of recipient where address on records exist ";" location of the supplier of services in other cases ";"location where the services are actually performed ";"Location of such person";3;"Services like beauty parlour, fitness, restaurant and catering services place of supply of services will be location where the services are actually performed "
" In year 2003 The Kelkar Task Force on Indirect Tax had suggested a comprehensive Goods and Services Tax (GST) based on ";"CST Principle";"Service Tax Principle";"VAT principle";"GST Principle";3;" The Kelkar Task Force on Indirect Tax had suggested a comprehensive Goods and Services Tax (GST) based on VAT principle"
"What is the due date for payment of tax";"Within 5 days of the subsequent month";"Within 10 days of the subsequent month";"Within 15 days of the subsequent month";"Within 20 days of the subsequent month";4;"Due date for payment of tax is Within 20 days of the subsequent month"
"Within how many years from the date of issue of notice should the proper officer issue an order";"1 year";"3 year";"5 year";"2 year";1;"Within 1 years from the date of issue of notice should the proper officer issue an order"
" In april 2017 Parliament passed the following bills as";"Central Goods and Services Tax (CGST) & Integrated Goods and Services Tax(IGST) Bill ";"Union Territory Goods and Services Tax (UTGST)Bill ";"Goods and Services Tax (Compensation to States) Bill ";"All of the above";4;" In april 2017 Parliament passed the following Four bills as mention in Options"
"Balance in electronic credit ledger under SGST can be used against which liability";"SGST, IGST and CGST liability";"SGST Liability only";"SGST and IGST liability";"None of the above";3;"Balance in electronic credit ledger under SGST can be used against SGST and IGST liability"
"The Union Government presented the Integrated Goods and Service Tax Bill, 2017 in Lok Sabha on 27th March, 2017 and the same was passed by Lok Sabha on 29th March, 2017. The Rajya Sabha passed the bill on 6th April, 2017 and was assented by the President on ";"10th April, 2017";"13th April, 2017";"15th April, 2017";"20th April, 2017";2;"The Union Government presented the Integrated Goods and Service Tax Bill, 2017 in Lok Sabha on 27th March, 2017 and the same was passed by Lok Sabha on 29th March, 2017. The Rajya Sabha passed the bill on 6th April, 2017 and was assented by the President on 13th April, 2017"
"Initiation of action under section 79 is by a CGST/SGST Officer not below the rank of";"Assistant Commissioner";"Joint Commissioner";"Commissioner";"Inspector";2;"Initiation of action under section 79 is by a CGST/SGST Officer not below the rank of Joint Commissioner"
"The due date for furnishing the annual return for every financial year by every registered taxable person other than ISD, non-resident tax payer, a person paying tax under Section 9, 46 or 56 and a casual taxable person is";"31st of May following the end of the financial year";"30th of September following the end of the financial year";"20th of October following the end of the financial year";"31st of December following the end of the financial year";4;"The due date for furnishing the annual return for every financial year by every registered taxable person other than ISD, non-resident tax payer, a person paying tax under Section 9, 46 or 56 and a casual taxable person is 31st of December following the end of the financial year"
"With the amendment in the Constitution, to empower the Centre and the States to levy and collect the GST, four legislations were given assent by the President, which are";"The Central Goods and Services Tax (CGST) & The Integrated Goods and Services Tax(IGST) Act 2017";"The Union Territory Goods and Services Tax (UTGST) Act 2017";"The Goods and Services Tax (Compensation to States) Act 2017";"All of the above";4;"All above mention four Act has power to levy & collect GST "
"Who will undertake the responsibility and accountability for any contravention under this Act";"Principal";"Manufacturer";"Job- Worker";"No-body";1;"Principle will undertake the responsibility and accountability for any contravention under this Act"
"If it is expedient in the interest of the Revenue, can the proper officer after recording reasons in writing, require a taxable person to make payment of tax demanded within shorter period as may be specified by him";"Yes";"No";"With prior permission of an officer not below the rank of Joint Commissioner";"None of the above";1;"yes, If it is expedient in the interest of the Revenue, can the proper officer after recording reasons in writing, require a taxable person to make payment of tax demanded within shorter period as may be specified by him"
"Find the correct match of annual returns to be filed";"Input service distributor Form GSTR 9";"Registered taxable person Form GSTR 8";"Compounding taxable person Form GSTR 9A";"Non-Resident taxable person Form GSTR 9B";3;"Compounding taxable person Submit annual return in Form GSTR 9A under GST"
"Where goods are packed and transported with insurance, the supply of goods, packing materials, transport and insurance is a ";"Mixed Supply";"Composite Supply";"Forward Supply";"Inward Supply";2;"Where goods are packed and transported with insurance, the supply of goods, packing materials, transport and insurance is a Composite Supply"
"With its grammatical variations and cognate expressions, means taking goods out of India to a place outside India ";"Export of services";"Export of Goods";"Import of services";"Import of Goods";2;"Export of goods with its grammatical variations and cognate expressions, means taking goods out of India to a place outside India "
"Ayurvedic products come under which rate structure";"5%";"12%";"18%";"28%";2;"Ayurvedic products come under 12% rate structure in GST"
"A tax return preparer can undertake the following activities if authorized by the taxable person";"Furnish monthly / quarterly return";"Furnish details inward and outward supplies";"Furnish Annual and Final return";"All of the above";4;"All three option are provided are correct in respect of Tax return preparer"
"A supply of a package consisting of canned foods, sweets, chocolates, cakes, dry fruits, aerated drinks and fruit juices when supplied for a single price is a";"Mixed Supply";"Composite Supply";"Forward Supply";"Inward Supply";1;"A supply of a package consisting of canned foods, sweets, chocolates, cakes, dry fruits, aerated drinks and fruit juices when supplied for a single price is a Mixed Supply"
"With its grammatical variations and cognate expressions, means bringing goods into India from a place outside India ";"Export of services";"Export of Goods";"Import of services";"Import of Goods";4;"Import of goods with its grammatical variations and cognate expressions, means bringing goods into India from a place outside India "
"Can the principal take input tax credit on the inputs and/or capital goods sent to jobworker";"Yes, unconditionally";"No, if the conditions are not met";"No";"Yes, if the conditions are met";4;"Yes, if the conditions are met the principal take input tax credit on the inputs and/or capital goods sent to jobworker"
"If a recipient returns the goods, the supplier has to raise a";"Debit Note";"Credit Note";"Bankers Receipt";"Acceptance letter";2;"If a recipient returns the goods, the supplier has to raise a credit note"
"Is there any time limit for issue of notice under section 69 in cases where tax is collected but not paid";"1 year";"3 year";"5 year";"No Time Limit";4;"No Time Limit is decided for issue of notice under section 69 in cases where tax is collected but not paid"
"Traders have to pay Certain percentage as tax under composition scheme of total turnover is";"1%";"2%";"5%";"None of the Above";1;"Traders who have below Rs 75 lakh turnover will have to pay 1 per cent tax, manufacturers will have to pay 2 per cent while restaurant businesses will have to pay 5 per cent if they opt to go for the Composition Scheme under GST"
"The details of inward supply furnished by the registered taxable person shall be matched with";"Corresponding details of outward supply furnished by the corresponding taxable person";"For duplication of claims of input tax credit";"Additional duty of customs paid under section 3(5) of the Customs Tariff Act, 1975";"All of the above";4;"All three option are correct"
"A Bill of Supply has to be issued for which of the following";"Supply of Exempted Goods Only";"Supply of Exempted Services Only";"Supply of Exempted Goods and Services";"None of the above";3;"A Bill of Supply has to be issued for Supply of Exempted Goods and Services"
"Recovery of amount payable by a defaulter can be made from";"Post Office";"Bank";"Customer";"All of the above";4;"Recovery of amount payable by a defaulter can be made from Post office , bank & customer"
"Restaurant have to pay Certain percentage as tax under composition scheme of total turnover is";"1%";"2%";"5%";"None of the Above";3;"Traders who have below Rs 75 lakh turnover will have to pay 1 per cent tax, manufacturers will have to pay 2 per cent while restaurant businesses will have to pay 5 per cent if they opt to go for the Composition Scheme under GST"
"Notice to non-filers of return shall be sent in Form";"GSTR 3";"GSTR 5";"GSTR 3A";"GSTR 10";3;"Notice to non-filers of return shall be sent in Form GSTR 3A"
"The Central GST Act, 2017 (CGST Act) will be applicable on all the of supply of goods and/or services and is the revenue of the Central Government";"Inter state transactions ";"Intra state transactions ";"Both of the Above";"None of the Above";2;"The Central GST Act, 2017 (CGST Act) will be applicable on all the intra state transactions of supply of goods and/or services and is the revenue of the Central Government"
"For supply of Goods, invoice should be prepared in";"Original + 1 copy";"Original + 2 copies";"Original + 3 copies";"Original + 4 copies";2;"For supply of Goods, invoice should be prepared in Original + 2 copies"
